date	it	instrument	satellite	channel	nassim	nrej	oberr	OmF_wobc	OmF_bc	pen	rms	std
2021-05-11 06:00:00	2	mhs	metop-b	4	875	15	2.0	-0.2681448	-0.0304865	0.1016479	0.6557103	0.6550012
2021-05-11 06:00:00	2	mhs	metop-b	5	875	17	2.0	-0.2468955	0.1668535	0.0919918	0.7136539	0.6938745
2021-05-11 06:00:00	3	mhs	metop-b	1	882	215	2.5	1.9375352	0.0924705	0.2214874	2.4472587	2.4455111
2021-05-11 06:00:00	3	mhs	metop-b	2	989	117	2.5	1.5622478	0.2126154	0.2576983	2.2109758	2.2007292
2021-05-11 06:00:00	3	mhs	metop-b	3	989	13	2.5	-0.028528	-0.0200514	0.0706674	0.6804465	0.680151
2021-05-11 06:00:00	3	mhs	metop-b	4	989	13	2.0	-0.2882284	0.0064119	0.0866377	0.6067504	0.6067165
2021-05-11 06:00:00	3	mhs	metop-b	5	989	14	2.0	-0.2059874	0.0461931	0.0831286	0.7049101	0.703395
2021-05-11 11:00:00	1	mhs	n19	1	11	11	2.5	-0.3961638	-3.4934028	1.1450232	4.3181191	2.5381665
2021-05-11 11:00:00	1	mhs	n19	2	14	0	2.5	0.0510177	0.1670731	0.2635004	1.5716889	1.5627836
2021-05-11 11:00:00	1	mhs	n19	3	14	0	-2.5	-0.350691	-0.0538826	0.2050245	1.1885425	1.1873205
2021-05-11 11:00:00	1	mhs	n19	4	14	0	2.0	-0.4795503	-0.3206284	0.1986102	0.9786104	0.9245949
2021-05-11 11:00:00	1	mhs	n19	5	14	0	2.0	-0.3847611	0.1944047	0.080126	0.6409234	0.6107288
2021-05-11 11:00:00	2	mhs	n19	1	12	4	2.5	-0.6460712	-1.9472479	0.6231712	3.0840352	2.3915474
2021-05-11 11:00:00	2	mhs	n19	2	12	3	2.5	-0.1866988	-0.1300729	0.1700695	1.1895726	1.1824398
2021-05-11 11:00:00	2	mhs	n19	3	12	0	-2.5	-0.1351335	0.1570892	0.2246849	1.1968713	1.1865175
2021-05-11 11:00:00	2	mhs	n19	4	12	0	2.0	-0.6360416	-0.2977581	0.1416618	0.7672143	0.7070771
2021-05-11 11:00:00	2	mhs	n19	5	12	0	2.0	-0.5325985	-0.0089641	0.0670034	0.5220863	0.5220093
2021-05-11 11:00:00	3	mhs	n19	1	11	4	2.5	-1.181873	-2.3129281	0.3794259	2.4486307	0.8038383
2021-05-11 11:00:00	3	mhs	n19	2	12	3	2.5	-0.0098817	0.0475431	0.1352421	1.0624261	1.0613618
2021-05-11 11:00:00	3	mhs	n19	3	12	0	-2.5	-0.0813057	0.2104585	0.225993	1.1989268	1.1803104
2021-05-11 11:00:00	3	mhs	n19	4	12	0	2.0	-0.60562	-0.1754289	0.1233427	0.7200719	0.6983754
2021-05-11 11:00:00	3	mhs	n19	5	12	0	2.0	-0.5218353	0.043916	0.0647964	0.5144895	0.5126118
2021-05-11 12:00:00	1	mhs	n19	1	48	12	2.5	-0.6589247	-0.6335014	0.2086462	2.549618	2.4696615
2021-05-11 12:00:00	1	mhs	n19	2	50	3	2.5	0.980698	-0.2802637	0.1012363	1.9126195	1.891974
2021-05-11 12:00:00	1	mhs	n19	3	50	0	-2.5	-0.0827354	0.0250306	0.2263709	1.2449415	1.2446898
2021-05-11 12:00:00	1	mhs	n19	4	50	1	2.0	-0.2964191	0.0382022	0.2189679	0.9660862	0.9653306
2021-05-11 12:00:00	1	mhs	n19	5	50	0	2.0	-0.2901956	0.0330493	0.1157648	0.8373405	0.8366881
2021-05-11 12:00:00	2	mhs	n19	1	59	15	2.5	-0.1781059	0.1752143	0.0740003	2.3143109	2.3076687
2021-05-11 12:00:00	2	mhs	n19	2	61	5	2.5	1.4118313	0.5452155	0.0555943	1.8947769	1.8146403
2021-05-11 12:00:00	2	mhs	n19	3	61	0	-2.5	-0.0296358	0.068037	0.2303255	1.2258901	1.2240006
2021-05-11 12:00:00	2	mhs	n19	4	61	1	2.0	-0.0475055	0.0980048	0.2094085	0.9380432	0.9329095
2021-05-11 12:00:00	2	mhs	n19	5	61	0	2.0	-0.1491345	0.0425189	0.118789	0.85795	0.8568958
2021-05-11 12:00:00	3	mhs	n19	1	54	16	2.5	-0.3606995	-0.158914	0.0683489	2.1471771	2.1412883
2021-05-11 12:00:00	3	mhs	n19	2	57	6	2.5	1.4236468	0.1761352	0.0440657	1.6521001	1.6426842
2021-05-11 12:00:00	3	mhs	n19	3	57	0	-2.5	0.0858874	0.1951729	0.2375129	1.256724	1.241476
2021-05-11 12:00:00	3	mhs	n19	4	57	1	2.0	-0.0551627	0.0431891	0.198609	0.9344622	0.9334636
2021-05-11 12:00:00	3	mhs	n19	5	57	0	2.0	-0.1861018	-0.0577803	0.104403	0.7889701	0.7868515
2021-05-11 13:00:00	1	mhs	n19	1	167	76	2.5	-1.0735709	-1.2423487	0.0691849	2.6958031	2.3924724
2021-05-11 13:00:00	1	mhs	n19	2	180	38	2.5	0.4902593	-0.8158871	0.0710456	2.0023602	1.8285991
2021-05-11 13:00:00	1	mhs	n19	3	180	4	-2.5	0.169174	0.1787644	0.2029427	1.1490621	1.1350714
2021-05-11 13:00:00	1	mhs	n19	4	180	11	2.0	-0.2056711	-0.1149793	0.1934084	0.90417	0.8968295
2021-05-11 13:00:00	1	mhs	n19	5	180	11	2.0	-0.7115369	-0.526649	0.1541388	0.9100119	0.7421338
2021-05-11 13:00:00	2	mhs	n19	1	178	48	2.5	-1.3582102	-0.8618935	0.0519129	2.5539784	2.4041516
2021-05-11 13:00:00	2	mhs	n19	2	186	21	2.5	0.5144116	-0.4121303	0.0513576	1.7843443	1.7360972
2021-05-11 13:00:00	2	mhs	n19	3	186	2	-2.5	0.130827	0.1319089	0.2228533	1.2104442	1.2032353
2021-05-11 13:00:00	2	mhs	n19	4	186	5	2.0	-0.1458601	-0.014666	0.1268323	0.7381452	0.7379995
