date	it	instrument	satellite	channel	nassim	nrej	oberr	OmF_wobc	OmF_bc	pen	rms	std
2021-05-11 03:00:00	2	amsua	n15	12	734	0	-1.0	0.4870014	0.4069148	0.2277778	0.5226429	0.3279878
2021-05-11 03:00:00	2	amsua	n15	13	170	564	-1.5	1.7261512	1.8632434	0.8313475	1.8986396	0.3649063
2021-05-11 03:00:00	2	amsua	n18	1	173	5	2.5	-3.8364596	-0.3155466	0.1142835	2.2327526	2.2103426
2021-05-11 03:00:00	2	amsua	n18	2	178	0	2.2	-3.0679028	-0.1981219	0.0688774	1.8711438	1.8606254
2021-05-11 03:00:00	2	amsua	n18	3	178	0	2.0	-0.7499549	-0.5265683	0.1115778	1.347871	1.2407587
2021-05-11 03:00:00	2	amsua	n18	4	178	0	0.55	-0.3113967	-0.0199624	0.1082451	0.3356926	0.3350985
2021-05-11 03:00:00	2	amsua	n18	5	178	0	-0.3	-0.5610901	0.0222302	0.4355242	0.2618365	0.2608912
2021-05-11 03:00:00	2	amsua	n18	6	672	0	0.23	-1.2940429	-0.0332829	0.3334789	0.1350952	0.1309312
2021-05-11 03:00:00	2	amsua	n18	7	707	0	0.23	-1.6311247	0.0203487	0.5261666	0.16693	0.1656851
2021-05-11 03:00:00	2	amsua	n18	8	700	7	-0.25	-1.1252965	-0.0239128	1.3764153	0.2934564	0.2924805
2021-05-11 03:00:00	2	amsua	n18	9	707	0	-0.25	-1.2175219	-0.0522808	0.7103926	0.2109832	0.2044031
2021-05-11 03:00:00	2	amsua	n18	10	707	0	0.35	-0.9304145	-0.0536092	0.3494415	0.2078446	0.2008119
2021-05-11 03:00:00	2	amsua	n18	11	707	0	-0.4	-0.9461163	0.0813079	0.4214815	0.2649739	0.2521908
2021-05-11 03:00:00	2	amsua	n18	12	707	0	-0.55	-0.5873548	0.1904656	0.450358	0.4039107	0.3561835
2021-05-11 03:00:00	2	amsua	n18	13	191	516	-0.8	0.0624171	0.8849221	0.7057504	0.9314738	0.2907855
2021-05-11 03:00:00	2	amsua	n18	14	1	706	-3.0	0.651644	0.651644	0.007115	0.651644	0.0
2021-05-11 03:00:00	2	amsua	n18	15	176	2	3.5	-0.2085029	0.1130024	0.0781587	1.8086548	1.8051212
